motif_index_0based,motif_id,motif_title,motif_gloss,description_present,tradition_frequency,tradition_prevalence
822,i13a_8,The horned serpent,Giant water-chthonic or sky serpent or dragon has horns or antlers on its head,True,124,0.13390928725701945
823,i13b_8,A horned snake,Snake of natural size has horns on its head,True,26,0.028077753779697623
824,i13c_8,Snake’s crown,"Reptiles possess treasure with magic properties. Person gets or tries to get it. Usually it is a crown, jewel or small horns on the snake's head",True,41,0.04427645788336933
825,i14_8,No-anus people,Person or creature has no anus opening,True,101,0.10907127429805616
826,i14a_8,Eject digested food through the mouth,No-anus people eject digested food through the mouth or other orifice,True,21,0.02267818574514039
827,i15_8,No-mouth people,Anthropomorphic beings have no mouths,True,35,0.03779697624190065
828,i15a_5,A vertical cut,Mouth of human being was first cut vertically,True,3,0.0032397408207343412
829,i16_5,Body anomalies of the first people,"First human beings have no mouth, anus or genitals, their women do not know how to give birth",True,51,0.0550755939524838
830,i17_8,Body anomalies of inhabitants of a distant land,"A race of anthropomorphic beings without mouth, anus, genitals, whose women do not know how to give birth lives in the underworld, in the sky, in a far-away land",True,94,0.10151187904967603
831,i18_10,A spouse or husband without anus or mouth,Person visits people who have no anus or mouth. He or his sister marries or tries to marry a local dweller,True,24,0.02591792656587473
832,i19_8,People inhale the odor of food,Anthropomorphic beings satisfy their hunger cooking food and inhaling the odor,True,53,0.05723542116630669
833,i20_8,The underworld dworfs,Race of dwarfs lives in the underworld,True,48,0.05183585313174946
834,i20a_8,The sky giants,Anthropomorphic inhabitants of the upper world are giants,True,8,0.008639308855291577
835,i20b_8,Belt on armpits,People in the upper world are different than on earth and put their belts not on the waist but higher or below it,True,4,0.004319654427645789
836,i21_8,Red-haired people scorched by the sun,"People who live in the underworld, at the sunrise or sunset (often dwarfs) are scorched by the Sun which moves by at a short distance from them. They are red-haired, dark-skinned, etc.",True,21,0.02267818574514039
837,i22_8,Symplegades (obstacle opens and closes),"Souls on their way to the land of the dead, heroes or shamans have to go between moving rocks, trees, river banks, etc. which are incessantly meeting and parting",True,166,0.17926565874730022
838,i22a_3,Rising and falling sky,The sky is constantly moving up and down in respect to earth,True,42,0.04535637149028078
839,i22b_3,Birds fly to the outer world,Migratory birds fly from our world to the outer world under the edge of the sky which is rising and falling or through a narrow opening. Many birds perish. Eventual details: person who lives at this place feeds on these birds; it can be mistress of birds lives on another side of the pulsating obstacle,True,23,0.024838012958963283
840,i23_3,Snapping door,The door of a house is opening and closing by itself crashing persons who attempt to come in or out,True,19,0.020518358531317494
841,i24_3,A snake bridge,"Snake, lizard or worm is a bridge or a rope over the river",True,29,0.03131749460043196
842,i25_10,The bribed guards,"Way to the place of a certain person is guided by dangerous creatures (which often stand on the both sides of the pathway). Person placates them by gifts or nice talk, and they let him or her go the both ways, sometimes being punished for this by their master",True,84,0.09071274298056156
843,i25a_10,Bones to cows,Person sees that food put for certain animals is inedible for them and corrects situation (usually gives to herbivorous animals food that was given before to predators and vice versa),True,36,0.038876889848812095
